#OTU_ID	B1	B10	B2	B3	B4	B5	B6	B7	B8	B9	BN1	BN3	DW1	DW10	DW11	DW12	DW13	DW14	DW15	DW16	DW17	DW18	DW19	DW2	DW20	DW3	DW4	DW5	DW6	DW7	DW8	DW9	DWN1	DWN3	DWN5	DWN7	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	LN1	LN3	N10	N11	N12	N13	N14	N15	N16	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N3	N30	N31	N33	N34	N35	N36	N37	N39	N4	N40	N41	N42	N43	N44	N6	N7	N8	N9	NE1	NE2	PB16	PB19	PB20	PB23	PB24	PB25	PB26	PB29	PB30	PB37	PB38	PB39	PB40	PB41	PB51	PB52	PB53	PB54	PB55	PB56	PB57	PB58	PB59	PB60	PB61	PB62	PB63	PB64	PB65	PB66	PB67	PB68	PB69	PB70	PB71	PB72	PB73	PB74	PB75	PBN11	PBN12	PBN13	PBN16	PBN18	PBN3	PBN5	PBN7	PBN9	TB21	TB22	TB23	TB24	TB25	TB26	TB27	TB28	TB29	TB30	TB31	TB32	TB33	TB34	TB35	TB36	TB37	TB38	TB39	TB40	TB41	TB42	TB43	TB44	TB45	TBN11	TBN13	TBN5	TBN7	TBN9	WB1	WB10	WB11	WB12	WB13	WB14	WB15	WB16	WB17	WB18	WB19	WB2	WB20	WB3	WB4	WB5	WB6	WB7	WB8	WB9	WBN1	WBN3	WBN5	WBN7
Esox_lucius	0	0	18587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4535	0	4523	0	0	7545	0	0	0	0	0	0	0	0	0	0	0	2243	0	0	0	0	2351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2733	0	2120	256	0	0	0	0	0	985	0	0	0	0	12554	0	3356	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6938	0	3785	0	0	18	6430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2724	3	0	0	0	0	0	0	0	0	0	8912	0	0	28386	0	0	0	0	7792	0	0	0	0
Cottus_gobio	0	0	0	0	0	0	4815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3516	1382	10246	2976	6735	9296	0	0	21739	0	5918	3988	16291	3295	0	8740	0	0	19500	0	2017	0	2177	12155	0	0	0	0	0	2727	1224	2138	1773	6018	0	8529	4957	0	0	0	0	0	0	0	0	0	925	4	0	4	4	21505	4	0	11868	3	50971	34340	2977	150	44464	5161	0	22612	0	19	8869	11005	47618	25861	24172	6	17636	0	0	0	0	0	6147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gasterosteus_aculeatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2579	0	0	359	0	458	3787	0	1254	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2344	1177	0	1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5117	0	6050	8677	0	26	7850	0	11958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gymnocephalus_cernua	0	0	0	13292	0	0	0	0	0	0	0	0	2043	0	0	0	0	0	0	0	0	0	0	3044	0	3635	0	35055	9123	0	4	3	0	0	0	0	0	0	0	0	0	13196	5756	0	0	4893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2601	0	1085	2214	1839	0	0	0	0	7054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2944	4381	1141	1836	4201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13197	0	0	26672	0	0	0	0	0	7966	0	8100	0	3	0	0	0	0	0	29936	0	0	0	0
Perca_fluviatilis	0	14894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4778	0	4327	0	0	0	0	0	0	0	0	0	0	0	0	4	16799	2902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1503	3845	4725	4351	0	0	0	0	1627	11056	3776	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	980	4633	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4738	3	0	0	0	0	0	0	0	0	0	0	0	0	16856	0	0	0	0	0	0	0	0	0
Salmo_salar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1908	429	0	0	0	0	2040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmo_trutta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	0	321	0	917	0	0	0	0	0	0	0	0	0	0	0	0	4611	0	0	0	0	0	0	0	0	0	0	3035	1492	0	0	0	0	6101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6353	11262	0	0	0	6529	0	0	0	0	0	3026	0	9921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thymallus_thymallus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	1739	0	0	0	0	0	0	0	0	0	0	0	3429	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petromyzon_marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuciscus	0	0	8621	0	0	0	0	0	0	0	0	0	1037	0	0	0	0	0	0	0	0	0	0	4081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	6303	0	1693	14972	12042	954	0	17245	8725	0	5168	11546	3082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	1351	1214	2708	3852	0	7746	3878	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7687	22582	0	0	0	0	4805	0	0	0	0	0	0
